Date,Heure,BalconTemp
05/12/2017,16:00:01,5.3
05/12/2017,17:00:01,5.1
05/12/2017,18:00:01,5.2
05/12/2017,19:00:01,5
05/12/2017,20:00:01,5
05/12/2017,21:00:01,5.1
05/12/2017,22:00:01,5.3
05/12/2017,23:00:01,5.3
06/12/2017,00:00:01,5.4
06/12/2017,01:00:01,5.5
06/12/2017,02:00:01,5.5
06/12/2017,03:00:01,5.6
06/12/2017,04:00:01,5.6
06/12/2017,05:00:01,5.6
06/12/2017,06:00:01,5.5
06/12/2017,07:00:01,5.5
06/12/2017,08:00:01,5.5
06/12/2017,09:00:01,6
06/12/2017,10:00:01,6.8
06/12/2017,11:00:01,7.8
06/12/2017,12:00:01,8.1
06/12/2017,13:00:01,8.1
06/12/2017,14:00:01,7.8
06/12/2017,15:00:01,7.2
06/12/2017,16:00:01,6.6
06/12/2017,17:00:01,6.2
06/12/2017,18:00:01,5.6
06/12/2017,19:00:01,5
06/12/2017,20:00:01,4.6
06/12/2017,21:00:01,3.2
06/12/2017,22:00:01,3.8
06/12/2017,23:00:01,3.8
07/12/2017,00:00:01,2.9
07/12/2017,01:00:01,2.5
07/12/2017,02:00:01,2.1
07/12/2017,03:00:01,2.4
07/12/2017,04:00:01,2.6
07/12/2017,05:00:01,2.8
07/12/2017,06:00:01,2.9
07/12/2017,07:00:01,3
07/12/2017,08:00:01,2.9
07/12/2017,09:00:01,3.2
07/12/2017,10:00:01,4
07/12/2017,11:00:01,4.1
07/12/2017,12:00:01,4.7
07/12/2017,13:00:01,5.5
07/12/2017,14:00:01,6.3
07/12/2017,15:00:01,6.3
07/12/2017,16:00:01,6.1
07/12/2017,17:00:01,6.5
07/12/2017,18:00:01,7
07/12/2017,19:00:01,7.5
07/12/2017,20:00:01,7.9
07/12/2017,21:00:01,8.4
07/12/2017,22:00:01,6.3
07/12/2017,23:00:01,5.5
08/12/2017,00:00:01,5.1
08/12/2017,01:00:01,5.3
08/12/2017,02:00:01,5.3
08/12/2017,03:00:01,4.6
08/12/2017,04:00:01,4.3
08/12/2017,05:00:01,4
08/12/2017,06:00:01,3.9
08/12/2017,07:00:01,4.1
08/12/2017,08:00:01,3.8
08/12/2017,09:00:01,3.8
08/12/2017,10:00:01,4.9
08/12/2017,11:00:01,5.6
08/12/2017,12:00:01,5.4
08/12/2017,13:00:01,5.6
08/12/2017,14:00:01,4.4
08/12/2017,15:00:01,4.6
08/12/2017,16:00:01,2.8
08/12/2017,17:00:01,2.4
08/12/2017,18:00:01,2.5
08/12/2017,19:00:01,1.9
08/12/2017,20:00:01,1.4
08/12/2017,21:00:01,1.1
08/12/2017,22:00:01,0.9
08/12/2017,23:00:01,0.9
09/12/2017,00:00:01,0.8
09/12/2017,01:00:01,0.2
09/12/2017,02:00:01,0.5
09/12/2017,03:00:01,0.1
09/12/2017,04:00:01,0.3
09/12/2017,05:00:01,-0.1
09/12/2017,06:00:01,-0.4
09/12/2017,07:00:01,-0.4
09/12/2017,08:00:01,-0.2
09/12/2017,09:00:01,1
09/12/2017,10:00:01,2.1
09/12/2017,11:00:01,8.7
09/12/2017,12:00:01,10
09/12/2017,13:00:01,8
09/12/2017,14:00:01,4.6
09/12/2017,15:00:01,3.9
09/12/2017,16:00:01,2.8
09/12/2017,17:00:01,2.2
09/12/2017,18:00:01,1.9
09/12/2017,19:00:01,1.9
09/12/2017,20:00:01,1.8
09/12/2017,21:00:01,1.8
09/12/2017,22:00:01,1.9
09/12/2017,23:00:01,1.9
10/12/2017,00:00:01,1.7
10/12/2017,01:00:01,2.1
10/12/2017,02:00:01,2.1
10/12/2017,03:00:01,1.7
10/12/2017,04:00:01,1.6
10/12/2017,05:00:01,1.4
10/12/2017,06:00:01,0.9
10/12/2017,07:00:01,0.7
10/12/2017,08:00:01,0.4
10/12/2017,09:00:01,1.2
10/12/2017,10:00:01,2.1
10/12/2017,11:00:01,5.3
10/12/2017,12:00:01,11.6
10/12/2017,13:00:01,10.7
10/12/2017,14:00:01,11.3
10/12/2017,15:00:01,9.4
10/12/2017,16:00:01,9
10/12/2017,17:00:01,9.4
10/12/2017,18:00:01,6.3
10/12/2017,19:00:01,6.3
10/12/2017,20:00:01,6.3
10/12/2017,21:00:01,6.7
10/12/2017,22:00:01,6.9
10/12/2017,23:00:01,7
11/12/2017,00:00:01,6.9
11/12/2017,01:00:01,6.6
11/12/2017,02:00:01,6.5
11/12/2017,03:00:01,6.4
11/12/2017,04:00:01,6.9
11/12/2017,05:00:01,6.8
11/12/2017,06:00:01,6.9
11/12/2017,07:00:01,7.5
11/12/2017,08:00:01,9
11/12/2017,09:00:01,9.7
11/12/2017,10:00:01,10.1
11/12/2017,11:00:01,10.2
11/12/2017,12:00:01,10.5
11/12/2017,13:00:01,10.5
11/12/2017,14:00:01,9.7
11/12/2017,15:00:01,7
11/12/2017,16:00:01,6.7
11/12/2017,17:00:01,6.6
11/12/2017,18:00:01,5.6
11/12/2017,19:00:01,3.1
11/12/2017,20:00:01,2
11/12/2017,21:00:01,2.1
11/12/2017,22:00:01,2.6
11/12/2017,23:00:01,2.9
12/12/2017,00:00:01,3.2
12/12/2017,01:00:01,3.3
12/12/2017,02:00:01,3.2
12/12/2017,03:00:01,3
12/12/2017,04:00:01,2.7
12/12/2017,05:00:01,2.7
12/12/2017,06:00:01,2.4
12/12/2017,07:00:01,2.3
12/12/2017,08:00:01,2
12/12/2017,09:00:01,2.8
12/12/2017,10:00:01,4.1
12/12/2017,11:00:01,11.9
12/12/2017,12:00:01,13.8
12/12/2017,13:00:01,8
12/12/2017,14:00:01,7.6
12/12/2017,15:00:01,9
12/12/2017,16:00:01,4.9
12/12/2017,17:00:01,3.6
12/12/2017,18:00:01,3
12/12/2017,19:00:01,2.9
12/12/2017,20:00:01,3.3
12/12/2017,21:00:01,2.6
12/12/2017,22:00:01,2.6
12/12/2017,23:00:01,2.4
13/12/2017,00:00:01,3.6
13/12/2017,01:00:01,3.9
13/12/2017,02:00:01,3.3
13/12/2017,03:00:01,3.1
13/12/2017,04:00:01,3.2
13/12/2017,05:00:01,3.6
13/12/2017,06:00:01,3.6
13/12/2017,07:00:01,3.6
13/12/2017,08:00:01,3.5
13/12/2017,09:00:01,3.4
13/12/2017,10:00:01,3.9
13/12/2017,11:00:01,4.2
13/12/2017,12:00:01,5.3
13/12/2017,13:00:01,6
13/12/2017,14:00:01,6.8
13/12/2017,15:00:01,7.2
13/12/2017,16:00:01,7.3
13/12/2017,17:00:01,7.5
13/12/2017,18:00:01,7.6
13/12/2017,19:00:01,7.5
13/12/2017,20:00:01,8
13/12/2017,21:00:01,7.8
13/12/2017,22:00:01,6.6
13/12/2017,23:00:01,6.7
14/12/2017,00:00:01,7.2
14/12/2017,01:00:01,5.6
14/12/2017,02:00:01,4.3
14/12/2017,03:00:01,4.6
14/12/2017,04:00:01,4.7
14/12/2017,05:00:01,4.8
14/12/2017,06:00:01,5
14/12/2017,07:00:01,4.6
14/12/2017,08:00:01,4.9
14/12/2017,09:00:01,5.6
14/12/2017,10:00:01,6
14/12/2017,11:00:01,7
14/12/2017,12:00:01,6.4
14/12/2017,13:00:01,6.8
14/12/2017,14:00:01,6.6
14/12/2017,15:00:01,6.6
14/12/2017,16:00:01,6.6
14/12/2017,17:00:01,5.5
14/12/2017,18:00:01,5.4
14/12/2017,19:00:01,5.8
14/12/2017,20:00:01,5.8
14/12/2017,21:00:01,4.3
14/12/2017,22:00:01,4.8
14/12/2017,23:00:01,4.5
15/12/2017,00:00:01,4.4
15/12/2017,01:00:01,3.9
15/12/2017,02:00:01,3.9
15/12/2017,03:00:01,4.1
15/12/2017,04:00:01,3.6
15/12/2017,05:00:01,4.6
15/12/2017,06:00:01,3.9
15/12/2017,07:00:01,3.9
15/12/2017,08:00:01,3.9
15/12/2017,09:00:01,5.1
15/12/2017,10:00:01,5.5
15/12/2017,11:00:01,4.8
15/12/2017,12:00:01,4.1
