Date,Heure,N2NTemp,N2NHR
05/12/2017,16:00:01,5.4,93.2
05/12/2017,17:00:01,5,94.5
05/12/2017,18:00:01,4.8,95.7
05/12/2017,19:00:01,5,95.7
05/12/2017,20:00:01,4.8,97.2
05/12/2017,21:00:01,4.8,97.8
05/12/2017,22:00:01,4.8,99.5
05/12/2017,23:00:01,5,98.7
06/12/2017,00:00:01,5,98.4
06/12/2017,01:00:01,5.1,97.6
06/12/2017,02:00:01,5.4,98.1
06/12/2017,03:00:01,5.2,100.5
06/12/2017,04:00:01,5.2,98.9
06/12/2017,05:00:01,5.2,99.4
06/12/2017,06:00:01,5.2,98.9
06/12/2017,07:00:01,5.2,99.5
06/12/2017,08:00:01,5.4,99.1
06/12/2017,09:00:01,5.6,97.2
06/12/2017,10:00:01,6.3,94.1
06/12/2017,11:00:01,7.5,89.6
06/12/2017,12:00:01,8.4,82
06/12/2017,13:00:01,8.5,81.7
06/12/2017,14:00:01,8.2,82.5
06/12/2017,15:00:01,7.6,84.8
06/12/2017,16:00:01,7,88.5
06/12/2017,17:00:01,6.2,90.2
06/12/2017,18:00:01,5.9,92.2
06/12/2017,19:00:01,5.4,93.6
06/12/2017,20:00:01,4.8,94.7
06/12/2017,21:00:01,4.2,96
06/12/2017,22:00:01,3.2,100.4
06/12/2017,23:00:01,3.8,96.1
07/12/2017,00:00:01,3.6,91
07/12/2017,01:00:01,2.9,90.9
07/12/2017,02:00:01,2.6,92.5
07/12/2017,03:00:01,2.3,94.2
07/12/2017,04:00:01,2.5,90.9
07/12/2017,05:00:01,2.7,90.1
07/12/2017,06:00:01,2.9,90.9
07/12/2017,07:00:01,3,90.3
07/12/2017,08:00:01,3,90.6
07/12/2017,09:00:01,2.8,91.1
07/12/2017,10:00:01,3.4,90
07/12/2017,11:00:01,5,86
07/12/2017,12:00:01,4.3,88.4
07/12/2017,13:00:01,4.9,88.9
07/12/2017,14:00:01,5.5,88.5
07/12/2017,15:00:01,6.2,89.4
07/12/2017,16:00:01,6.2,90.6
07/12/2017,17:00:01,6.3,95.4
07/12/2017,18:00:01,7,95
07/12/2017,19:00:01,7.4,93.8
07/12/2017,20:00:01,8,95.9
07/12/2017,21:00:01,8.4,97.2
07/12/2017,22:00:01,7.4,99.4
07/12/2017,23:00:01,6.5,92.9
08/12/2017,00:00:01,5.9,92.3
08/12/2017,01:00:01,5.4,94.2
08/12/2017,02:00:01,5.5,96.6
08/12/2017,03:00:01,5.4,96.4
08/12/2017,04:00:01,4.8,95.9
08/12/2017,05:00:01,4.4,92.4
08/12/2017,06:00:01,4.1,91.6
08/12/2017,07:00:01,3.8,90.1
08/12/2017,08:00:01,4.3,90.7
08/12/2017,09:00:01,3.9,88.1
08/12/2017,10:00:01,4.3,89
08/12/2017,11:00:01,4.8,82.2
08/12/2017,12:00:01,6,79.1
08/12/2017,13:00:01,5.2,79.9
08/12/2017,14:00:01,4.3,84.3
08/12/2017,15:00:01,3.9,86
08/12/2017,16:00:01,3.4,89.8
08/12/2017,17:00:01,2.7,91.9
08/12/2017,18:00:01,2.6,92.9
08/12/2017,19:00:01,2.3,92.5
08/12/2017,20:00:01,1.7,92.7
08/12/2017,21:00:01,1.1,95.6
08/12/2017,22:00:01,1,95.2
08/12/2017,23:00:01,0.7,94.6
09/12/2017,00:00:01,0.9,94.1
09/12/2017,01:00:01,0.4,96
09/12/2017,02:00:01,0.4,95.6
09/12/2017,03:00:01,0.3,97.1
09/12/2017,04:00:01,0.1,97.5
09/12/2017,05:00:01,0.1,98.9
09/12/2017,06:00:01,-0.2,100.5
09/12/2017,07:00:01,-0.5,100
09/12/2017,08:00:01,-0.6,100.5
09/12/2017,09:00:01,0,97.5
09/12/2017,10:00:01,1,93.8
09/12/2017,11:00:01,1.8,88.8
09/12/2017,12:00:01,2.9,83.7
09/12/2017,13:00:01,3.8,80.2
09/12/2017,14:00:01,4.1,78
09/12/2017,15:00:01,3.9,76.6
09/12/2017,16:00:01,3.2,82
09/12/2017,17:00:01,2.1,85.9
09/12/2017,18:00:01,1.7,88.5
09/12/2017,19:00:01,1.8,91.5
09/12/2017,20:00:01,1.7,92.9
09/12/2017,21:00:01,1.7,92.4
09/12/2017,22:00:01,1.7,94.1
09/12/2017,23:00:01,1.8,94.3
10/12/2017,00:00:01,1.9,96.2
10/12/2017,01:00:01,1.7,95.1
10/12/2017,02:00:01,2,94.1
10/12/2017,03:00:01,2,93.3
10/12/2017,04:00:01,1.7,95.6
10/12/2017,05:00:01,1.7,94.6
10/12/2017,06:00:01,1.4,95.9
10/12/2017,07:00:01,0.8,99.5
10/12/2017,08:00:01,0.5,102.1
10/12/2017,09:00:01,0.8,102.8
10/12/2017,10:00:01,1.8,99.1
10/12/2017,11:00:01,2.7,99.6
10/12/2017,12:00:01,6.5,96.1
10/12/2017,13:00:01,9.3,84
10/12/2017,14:00:01,9.7,70.3
10/12/2017,15:00:01,9.5,69.8
10/12/2017,16:00:01,8.9,72.3
10/12/2017,17:00:01,8.5,75.2
10/12/2017,18:00:01,8.7,76.9
10/12/2017,19:00:01,7,92.2
10/12/2017,20:00:01,7,94.8
10/12/2017,21:00:01,7.4,89.7
10/12/2017,22:00:01,7.3,91.5
10/12/2017,23:00:01,7.9,89.2
11/12/2017,00:00:01,7.2,95
11/12/2017,01:00:01,6.9,95.2
11/12/2017,02:00:01,6.9,96
11/12/2017,03:00:01,6.5,99.7
11/12/2017,04:00:01,6.5,102.7
11/12/2017,05:00:01,7,102
11/12/2017,06:00:01,6.9,102.1
11/12/2017,07:00:01,7,103.1
11/12/2017,08:00:01,8.2,101.5
11/12/2017,09:00:01,9.2,94.8
11/12/2017,10:00:01,9.7,87.1
11/12/2017,11:00:01,10,82.1
11/12/2017,12:00:01,10.2,72.8
11/12/2017,13:00:01,10.3,69.8
11/12/2017,14:00:01,10,69
11/12/2017,15:00:01,9.2,73.7
11/12/2017,16:00:01,7.7,85.2
11/12/2017,17:00:01,6.7,89.8
11/12/2017,18:00:01,6.5,88.2
11/12/2017,19:00:01,6.1,94
11/12/2017,20:00:01,2.6,96.2
11/12/2017,21:00:01,2.1,91.4
11/12/2017,22:00:01,2.1,92.4
11/12/2017,23:00:01,2.2,93.3
12/12/2017,00:00:01,3,90.2
12/12/2017,01:00:01,3.4,88.9
12/12/2017,02:00:01,3.3,92.9
12/12/2017,03:00:01,3,95
12/12/2017,04:00:01,3,95
12/12/2017,05:00:01,2.7,95.5
12/12/2017,06:00:01,2.5,91.3
12/12/2017,07:00:01,2.7,93.8
12/12/2017,08:00:01,2.1,95.4
12/12/2017,09:00:01,2.2,94.1
12/12/2017,10:00:01,3,89.8
12/12/2017,11:00:01,3.8,84.7
12/12/2017,12:00:01,5.2,79.1
12/12/2017,13:00:01,5.7,78.1
12/12/2017,14:00:01,5.5,79.2
12/12/2017,15:00:01,5.5,79.2
12/12/2017,16:00:01,5.2,80.3
12/12/2017,17:00:01,4,86.9
12/12/2017,18:00:01,2.9,91
12/12/2017,19:00:01,2.5,92.9
12/12/2017,20:00:01,2.5,94.1
12/12/2017,21:00:01,2.7,94.8
12/12/2017,22:00:01,2,96.4
12/12/2017,23:00:01,2,96.4
13/12/2017,00:00:01,2.6,94.8
13/12/2017,01:00:01,3.3,91.3
13/12/2017,02:00:01,3.5,91.1
13/12/2017,03:00:01,3.1,93.6
13/12/2017,04:00:01,2.7,95.2
13/12/2017,05:00:01,3.2,93.8
13/12/2017,06:00:01,3.5,92.2
13/12/2017,07:00:01,3.3,92
13/12/2017,08:00:01,3.6,91.9
13/12/2017,09:00:01,3.8,93.7
13/12/2017,10:00:01,3.8,97
13/12/2017,11:00:01,4.3,96.5
13/12/2017,12:00:01,4.6,98.5
13/12/2017,13:00:01,5.7,96.9
13/12/2017,14:00:01,6.7,96.1
13/12/2017,15:00:01,7.2,96.7
13/12/2017,16:00:01,7.5,95.6
13/12/2017,17:00:01,7.6,96
13/12/2017,18:00:01,7.9,96.7
13/12/2017,19:00:01,7.9,97.4
13/12/2017,20:00:01,8,97.8
13/12/2017,21:00:01,8.9,94.8
13/12/2017,22:00:01,8.7,85.9
13/12/2017,23:00:01,7.6,83.1
14/12/2017,00:00:01,7.1,90.6
14/12/2017,01:00:01,7.4,88.6
14/12/2017,02:00:01,6.7,81
14/12/2017,03:00:01,5.4,84.1
14/12/2017,04:00:01,5.5,83.2
14/12/2017,05:00:01,5.2,83.3
14/12/2017,06:00:01,5.2,81
14/12/2017,07:00:01,5,81
14/12/2017,08:00:01,4.7,87.5
14/12/2017,09:00:01,5.2,84.5
14/12/2017,10:00:01,5.7,83.9
14/12/2017,11:00:01,6.2,81.2
14/12/2017,12:00:01,6.7,79.4
14/12/2017,13:00:01,6.4,82
14/12/2017,14:00:01,6.5,81.7
14/12/2017,15:00:01,6.6,84
14/12/2017,16:00:01,6.4,85.1
14/12/2017,17:00:01,6.2,87.5
14/12/2017,18:00:01,5.2,89.8
14/12/2017,19:00:01,5.6,90.3
14/12/2017,20:00:01,6,88.9
14/12/2017,21:00:01,5.1,90.6
14/12/2017,22:00:01,4.8,91.1
14/12/2017,23:00:01,4.6,86.3
15/12/2017,00:00:01,4.3,89.6
15/12/2017,01:00:01,4.3,89.6
15/12/2017,02:00:01,3.8,92
15/12/2017,03:00:01,4,91.9
15/12/2017,04:00:01,4.1,90.9
15/12/2017,05:00:01,4.1,94.6
15/12/2017,06:00:01,4.6,94.2
15/12/2017,07:00:01,3.4,96.2
15/12/2017,08:00:01,4,96.4
15/12/2017,09:00:01,4,96.1
15/12/2017,10:00:01,5.6,88.2
15/12/2017,11:00:01,5.5,88.6
15/12/2017,12:00:01,5,92.3
15/12/2017,13:00:01,5,93.8
15/12/2017,14:00:01,5,92.9
15/12/2017,15:00:01,5,94.1
15/12/2017,16:00:01,4.9,93.7
15/12/2017,17:00:01,3.9,101.3
15/12/2017,18:00:01,3.7,99.7
15/12/2017,19:00:01,3.7,99.9
15/12/2017,20:00:01,3.8,100
15/12/2017,21:00:01,4.1,96.7
15/12/2017,22:00:01,4,95.9
15/12/2017,23:00:01,3.8,96.4
16/12/2017,00:00:01,3.8,96.9
16/12/2017,01:00:01,3.8,96.7
16/12/2017,02:00:01,4.1,98.9
16/12/2017,03:00:01,4,96.9
16/12/2017,04:00:01,3.7,94.8
16/12/2017,05:00:01,3.3,98
16/12/2017,06:00:01,3.8,97.4
16/12/2017,07:00:01,4.1,96.9
16/12/2017,08:00:01,4.3,95.1
16/12/2017,09:00:01,4,94.3
16/12/2017,10:00:01,4.4,92.5
16/12/2017,11:00:01,4.5,93.1
16/12/2017,12:00:01,5.4,87.5
16/12/2017,13:00:01,5,86.4
16/12/2017,14:00:01,5,87.1
16/12/2017,15:00:01,4.5,86
16/12/2017,16:00:01,4.4,86.4
16/12/2017,17:00:01,4,87.5
16/12/2017,18:00:01,3.6,87.6
16/12/2017,19:00:01,2.7,92
16/12/2017,20:00:01,2,96
16/12/2017,21:00:01,1.8,94.6
16/12/2017,22:00:01,1.4,95.5
16/12/2017,23:00:01,0.9,97.8
17/12/2017,00:00:01,1,96.1
17/12/2017,01:00:01,2,93.4
17/12/2017,02:00:01,1.9,96.1
17/12/2017,03:00:01,1.8,97.9
17/12/2017,04:00:01,2,98.9
17/12/2017,05:00:01,1.7,100.4
17/12/2017,06:00:01,1.6,102.4
17/12/2017,07:00:01,1,104.3
17/12/2017,08:00:01,0.5,105.1
17/12/2017,09:00:01,1,104.7
17/12/2017,10:00:01,1.1,102.2
17/12/2017,11:00:01,1.5,100.4
17/12/2017,12:00:01,2,98.4
17/12/2017,13:00:01,3.8,90.6
17/12/2017,14:00:01,3.5,89.8
17/12/2017,15:00:01,3.6,90.6
17/12/2017,16:00:01,3.4,91
17/12/2017,17:00:01,2.2,95
17/12/2017,18:00:01,2,96.2
17/12/2017,19:00:01,1.8,97.1
17/12/2017,20:00:01,2,95
17/12/2017,21:00:01,2.4,95.6
17/12/2017,22:00:01,2.3,98.1
17/12/2017,23:00:01,2.6,98.1
18/12/2017,00:00:01,3,99.4
18/12/2017,01:00:01,3.5,99.7
18/12/2017,02:00:01,3.9,100.7
18/12/2017,03:00:01,4.8,101
18/12/2017,04:00:01,5.4,101.1
18/12/2017,05:00:01,5.8,103.2
18/12/2017,06:00:01,6.2,102.4
18/12/2017,07:00:01,7,99.2
18/12/2017,08:00:01,6.5,94.7
18/12/2017,09:00:01,5.7,93.7
18/12/2017,10:00:01,5.8,94
18/12/2017,11:00:01,6.2,91.8
18/12/2017,12:00:01,6.5,89.7
18/12/2017,13:00:01,7.2,88.6
18/12/2017,14:00:01,7.4,86
18/12/2017,15:00:01,7.4,82.5
18/12/2017,16:00:01,7.1,86.9
18/12/2017,17:00:01,6.9,82.4
18/12/2017,18:00:01,6.6,88
18/12/2017,19:00:01,6.6,90
18/12/2017,20:00:01,6.5,90.7
18/12/2017,21:00:01,6.3,90.6
18/12/2017,22:00:01,6.1,91.1
18/12/2017,23:00:01,5.7,93.7
19/12/2017,00:00:01,5.4,94.3
19/12/2017,01:00:01,5.2,96.5
19/12/2017,02:00:01,4.9,97
19/12/2017,03:00:01,4.8,97.9
19/12/2017,04:00:01,4,100.2
19/12/2017,05:00:01,3.2,102.9
19/12/2017,06:00:01,3.2,102.8
19/12/2017,07:00:01,3.6,102.9
19/12/2017,08:00:01,3.7,101.7
19/12/2017,09:00:01,3.5,102
19/12/2017,10:00:01,3.6,102.8
19/12/2017,11:00:01,4.2,101
19/12/2017,12:00:01,5.1,98.3
19/12/2017,13:00:01,6.1,92.9
19/12/2017,14:00:01,7,88.8
19/12/2017,15:00:01,6.7,91.5
19/12/2017,16:00:01,5.6,95.6
19/12/2017,17:00:01,5.2,96.1
19/12/2017,18:00:01,4.9,98
19/12/2017,19:00:01,5,98.5
19/12/2017,20:00:01,4.9,98.1
19/12/2017,21:00:01,4.7,98.6
19/12/2017,22:00:01,4.3,100.6
19/12/2017,23:00:01,4.3,98.9
20/12/2017,00:00:01,4.4,99.4
20/12/2017,01:00:01,4.6,99.1
20/12/2017,02:00:01,4.6,99.2
20/12/2017,03:00:01,4.7,100.9
20/12/2017,04:00:01,4.9,101.7
20/12/2017,05:00:01,4.9,102.3
20/12/2017,06:00:01,4.9,104
20/12/2017,07:00:01,5.2,104
20/12/2017,08:00:01,5.4,104.1
20/12/2017,09:00:01,5.5,103.7
20/12/2017,10:00:01,5.9,103.1
20/12/2017,11:00:01,6.4,101.5
20/12/2017,12:00:01,6.9,101.2
20/12/2017,13:00:01,7,102.6
20/12/2017,14:00:01,7.4,102.8
20/12/2017,15:00:01,7.5,103.9
20/12/2017,16:00:01,7.6,103.1
20/12/2017,17:00:01,7.7,102.7
20/12/2017,18:00:01,7.6,102.9
20/12/2017,19:00:01,7.7,104.1
20/12/2017,20:00:01,7.5,104.3
20/12/2017,21:00:01,7.6,104.6
20/12/2017,22:00:01,7.6,104.7
20/12/2017,23:00:01,7.5,104.4
21/12/2017,00:00:01,7.5,104.5
21/12/2017,01:00:01,7.4,105.5
21/12/2017,02:00:01,7.3,105.7
21/12/2017,03:00:01,7.4,104.4
21/12/2017,04:00:01,7.2,103.9
21/12/2017,05:00:01,7.2,103.2
21/12/2017,06:00:01,7.4,104.4
21/12/2017,07:00:01,7.5,104.5
21/12/2017,08:00:01,7.5,104.7
21/12/2017,09:00:01,7.5,104.4
21/12/2017,10:00:01,8,101.5
21/12/2017,11:00:01,8.4,101.1
21/12/2017,12:00:01,9.3,98.4
21/12/2017,13:00:01,9.2,98.9
21/12/2017,14:00:01,9.3,100.7
21/12/2017,15:00:01,9.4,101.2
21/12/2017,16:00:01,9.6,100.7
21/12/2017,17:00:01,9.4,102.9
21/12/2017,18:00:01,9.3,104.5
21/12/2017,19:00:01,9.2,103.7
21/12/2017,20:00:01,9.4,103.9
21/12/2017,21:00:01,9.4,103.9
21/12/2017,22:00:01,9.7,104.1
21/12/2017,23:00:01,9.5,104.4
22/12/2017,00:00:01,9.6,104.4
22/12/2017,01:00:01,9.7,104.3
22/12/2017,02:00:01,9.6,103.9
22/12/2017,03:00:01,9.5,100.1
22/12/2017,04:00:01,9.1,100.4
22/12/2017,05:00:01,8.7,102.4
22/12/2017,06:00:01,8.5,101.2
22/12/2017,07:00:01,8.6,100.7
22/12/2017,08:00:01,8.5,100.4
22/12/2017,09:00:01,8.7,100.2
22/12/2017,10:00:01,8.9,99.6
22/12/2017,11:00:01,9.4,98
22/12/2017,12:00:01,9.6,98.4
22/12/2017,13:00:01,9.4,100.5
22/12/2017,14:00:01,9.7,99.6
22/12/2017,15:00:01,9.7,98.9
22/12/2017,16:00:01,9.6,98.7
22/12/2017,17:00:01,9.4,100.4
22/12/2017,18:00:01,9.5,100.6
22/12/2017,19:00:01,9.4,100.1
22/12/2017,20:00:01,9.2,100.6
22/12/2017,21:00:01,9.3,100.2
22/12/2017,22:00:01,9.2,99.5
22/12/2017,23:00:01,9.2,97.1
23/12/2017,00:00:01,9.2,94
23/12/2017,01:00:01,8.9,98
23/12/2017,02:00:01,8.6,101.3
23/12/2017,03:00:01,8.5,101.8
23/12/2017,04:00:01,8.5,100
23/12/2017,05:00:01,8.5,99.2
23/12/2017,06:00:01,8.7,94.2
23/12/2017,07:00:01,8.5,97.1
23/12/2017,08:00:01,8.5,97.4
23/12/2017,09:00:01,8.9,94.7
23/12/2017,10:00:01,8.9,97.5
23/12/2017,11:00:01,9.4,97.1
23/12/2017,12:00:01,9.6,97.8
23/12/2017,13:00:01,9.2,98.4
23/12/2017,14:00:01,9.8,91.9
23/12/2017,15:00:01,9.4,92.3
23/12/2017,16:00:01,9,95.6
23/12/2017,17:00:01,8.7,96
23/12/2017,18:00:01,8.5,96.4
23/12/2017,19:00:01,8.3,98.6
23/12/2017,20:00:01,8.3,98.5
23/12/2017,21:00:01,8.4,97.4
23/12/2017,22:00:01,8.4,98.3
23/12/2017,23:00:01,8.5,97.1
24/12/2017,00:00:01,8.4,98.4
24/12/2017,01:00:01,8.4,98.3
24/12/2017,02:00:01,8.4,99
24/12/2017,03:00:01,8.4,96.9
24/12/2017,04:00:01,8.3,96.7
24/12/2017,05:00:01,8.2,97.9
24/12/2017,06:00:01,8,99.2
24/12/2017,07:00:01,8,100
24/12/2017,08:00:01,8.1,99.5
24/12/2017,09:00:01,8.3,98.7
24/12/2017,10:00:01,8.6,97.5
24/12/2017,11:00:01,8.9,96.4
24/12/2017,12:00:01,9,96.5
24/12/2017,13:00:01,8.9,96.4
24/12/2017,14:00:01,9,95.4
24/12/2017,15:00:01,8.6,95.2
24/12/2017,16:00:01,8.4,93.1
24/12/2017,17:00:01,8.1,95.5
24/12/2017,18:00:01,8,96.9
24/12/2017,19:00:01,7.9,97.5
24/12/2017,20:00:01,7.9,97.5
24/12/2017,21:00:01,7.9,97.6
24/12/2017,22:00:01,7.8,98
24/12/2017,23:00:01,7.8,96
25/12/2017,00:00:01,7.7,95.2
25/12/2017,01:00:01,7.6,96.4
25/12/2017,02:00:01,7.5,95.5
25/12/2017,03:00:01,7.4,93.8
25/12/2017,04:00:01,7.2,95.5
25/12/2017,05:00:01,7,95.1
25/12/2017,06:00:01,6.7,94.1
25/12/2017,07:00:01,6.3,94.1
25/12/2017,08:00:01,5.7,92.4
25/12/2017,09:00:01,5.4,93.7
25/12/2017,10:00:01,5.2,93.7
25/12/2017,11:00:01,5.2,92
25/12/2017,12:00:01,5.2,91.8
25/12/2017,13:00:01,5,93.6
25/12/2017,14:00:01,4.9,92.2
25/12/2017,15:00:01,4.7,92.5
25/12/2017,16:00:01,4.5,92.3
25/12/2017,17:00:01,4.2,96
25/12/2017,18:00:01,3.9,96.4
25/12/2017,19:00:01,3.5,98
25/12/2017,20:00:01,3.6,95.7
25/12/2017,21:00:01,3.5,95.7
25/12/2017,22:00:01,3.6,97.6
25/12/2017,23:00:01,4,97.1
26/12/2017,00:00:01,3.9,98.1
26/12/2017,01:00:01,3.6,98.6
26/12/2017,02:00:01,3.2,96.5
26/12/2017,03:00:01,3.3,95.9
26/12/2017,04:00:01,6,84.5
26/12/2017,05:00:01,5.8,90.1
26/12/2017,06:00:01,6.2,89.7
26/12/2017,07:00:01,6,95.9
26/12/2017,08:00:01,5.7,97.9
26/12/2017,09:00:01,5.7,97.8
26/12/2017,10:00:01,6,91.1
26/12/2017,11:00:01,6.6,89
26/12/2017,12:00:01,7,84.5
26/12/2017,13:00:01,7,82.5
26/12/2017,14:00:01,7.2,82
26/12/2017,15:00:01,7,83.7
26/12/2017,16:00:01,6.9,85.7
26/12/2017,17:00:01,6.7,88.6
26/12/2017,18:00:01,6.6,88
26/12/2017,19:00:01,6.4,91.4
26/12/2017,20:00:01,6.5,88
26/12/2017,21:00:01,6.2,89.8
26/12/2017,22:00:01,6.5,84.9
26/12/2017,23:00:01,6.4,85.5
27/12/2017,00:00:01,6.3,83.9
27/12/2017,01:00:01,5.9,87.9
27/12/2017,02:00:01,5.1,93.3
27/12/2017,03:00:01,5.2,95.1
27/12/2017,04:00:01,5.1,95
27/12/2017,05:00:01,5,95
27/12/2017,06:00:01,5,94.7
27/12/2017,07:00:01,5.2,96.4
27/12/2017,08:00:01,5.4,96.6
27/12/2017,09:00:01,5.7,96.6
27/12/2017,10:00:01,6.2,93.8
27/12/2017,11:00:01,7.7,89.3
27/12/2017,12:00:01,7.5,87.2
27/12/2017,13:00:01,7.4,87.5
27/12/2017,14:00:01,7,86.4
27/12/2017,15:00:01,6.4,92
27/12/2017,16:00:01,5,87.1
27/12/2017,17:00:01,4.3,91.8
27/12/2017,18:00:01,4.2,97.6
27/12/2017,19:00:01,3.7,96.7
27/12/2017,20:00:01,3.2,104.4
27/12/2017,21:00:01,3.4,94.7
27/12/2017,22:00:01,2.9,103.2
