Date,Heure,N2OTemp,N2OHR
05/12/2017,16:00:01,5.3,91.5
05/12/2017,17:00:01,5.3,92.7
05/12/2017,18:00:01,5,94.1
05/12/2017,19:00:01,5.3,93.4
05/12/2017,20:00:01,5.1,95
05/12/2017,21:00:01,5.1,95
05/12/2017,22:00:01,5.3,96.8
05/12/2017,23:00:01,5.4,96.5
06/12/2017,00:00:01,5.5,95.9
06/12/2017,01:00:01,5.6,95.7
06/12/2017,02:00:01,5.7,95.9
06/12/2017,03:00:01,5.5,96.9
06/12/2017,04:00:01,5.7,96.9
06/12/2017,05:00:01,5.8,96.7
06/12/2017,06:00:01,5.7,97.5
06/12/2017,07:00:01,5.4,98
06/12/2017,08:00:01,5.3,98.4
06/12/2017,09:00:01,5.6,96.9
06/12/2017,10:00:01,6.1,94.1
06/12/2017,11:00:01,7.1,91.5
06/12/2017,12:00:01,8.2,82
06/12/2017,13:00:01,8.1,81.5
06/12/2017,14:00:01,7.9,82.7
06/12/2017,15:00:01,7.6,84
06/12/2017,16:00:01,7,88.5
06/12/2017,17:00:01,6.5,88.2
06/12/2017,18:00:01,6,89.7
06/12/2017,19:00:01,5.4,93.6
06/12/2017,20:00:01,4.9,95.8
06/12/2017,21:00:01,4.3,95.5
06/12/2017,22:00:01,3.1,99
06/12/2017,23:00:01,3.8,96.2
07/12/2017,00:00:01,3.5,91.5
07/12/2017,01:00:01,2.6,92.7
07/12/2017,02:00:01,2.3,93.8
07/12/2017,03:00:01,1.9,95.8
07/12/2017,04:00:01,2.3,92.7
07/12/2017,05:00:01,2.5,89.9
07/12/2017,06:00:01,2.8,90
07/12/2017,07:00:01,3,88.9
07/12/2017,08:00:01,3,90.4
07/12/2017,09:00:01,2.8,91.2
07/12/2017,10:00:01,3,92
07/12/2017,11:00:01,4.5,89
07/12/2017,12:00:01,4,90.2
07/12/2017,13:00:01,4.8,89.1
07/12/2017,14:00:01,5.5,89
07/12/2017,15:00:01,6.5,87.7
07/12/2017,16:00:01,6.3,89
07/12/2017,17:00:01,6,97.5
07/12/2017,18:00:01,6.8,96.7
07/12/2017,19:00:01,7.2,96.7
07/12/2017,20:00:01,7.8,97.9
07/12/2017,21:00:01,8.1,99.7
07/12/2017,22:00:01,7.2,100.6
07/12/2017,23:00:01,6.3,95.3
08/12/2017,00:00:01,5.7,92.7
08/12/2017,01:00:01,5.5,94.3
08/12/2017,02:00:01,5.6,94.6
