Date,Heure,N2STemp,N2SHR
05/12/2017,16:00:01,5.5,92.1
05/12/2017,17:00:01,5.2,93.4
05/12/2017,18:00:01,5.1,94.5
05/12/2017,19:00:01,5.3,93.7
05/12/2017,20:00:01,5.1,94.2
05/12/2017,21:00:01,5.2,95.6
05/12/2017,22:00:01,5.3,96.6
05/12/2017,23:00:01,5.4,96.2
06/12/2017,00:00:01,5.6,95.7
06/12/2017,01:00:01,5.6,96.1
06/12/2017,02:00:01,5.6,96.7
06/12/2017,03:00:01,5.6,97.2
06/12/2017,04:00:01,5.8,96.8
06/12/2017,05:00:01,5.8,96.7
06/12/2017,06:00:01,5.8,96.7
06/12/2017,07:00:01,5.5,97.4
06/12/2017,08:00:01,5.4,97.6
06/12/2017,09:00:01,5.6,96.8
06/12/2017,10:00:01,6.1,95.1
06/12/2017,11:00:01,7.1,91.9
06/12/2017,12:00:01,7.9,82.5
06/12/2017,13:00:01,7.9,82.9
06/12/2017,14:00:01,7.8,83.5
06/12/2017,15:00:01,7.4,84.5
06/12/2017,16:00:01,6.9,88.7
06/12/2017,17:00:01,6.6,88
06/12/2017,18:00:01,6.1,90.6
06/12/2017,19:00:01,5.4,93
06/12/2017,20:00:01,4.9,95.3
06/12/2017,21:00:01,4.4,93.5
06/12/2017,22:00:01,3.3,98.1
06/12/2017,23:00:01,3.8,95.6
07/12/2017,00:00:01,3.6,90.7
07/12/2017,01:00:01,2.6,93
07/12/2017,02:00:01,2.3,93.5
07/12/2017,03:00:01,2,94.7
07/12/2017,04:00:01,2.4,92
07/12/2017,05:00:01,2.5,90.5
07/12/2017,06:00:01,2.9,90.5
07/12/2017,07:00:01,3,88.6
07/12/2017,08:00:01,3,89.7
07/12/2017,09:00:01,2.8,91.2
07/12/2017,10:00:01,3,92.4
07/12/2017,11:00:01,4.5,88.6
07/12/2017,12:00:01,4,89.1
07/12/2017,13:00:01,4.9,88.5
07/12/2017,14:00:01,5.6,88.7
07/12/2017,15:00:01,6.4,87.7
07/12/2017,16:00:01,6.4,89
07/12/2017,17:00:01,6.2,102.5
07/12/2017,18:00:01,7.1,101.9
07/12/2017,19:00:01,7.5,96.8
07/12/2017,20:00:01,8.1,96.4
07/12/2017,21:00:01,8.5,98.2
07/12/2017,22:00:01,7.6,95.6
07/12/2017,23:00:01,6.4,95.6
08/12/2017,00:00:01,5.9,93.5
08/12/2017,01:00:01,5.7,93.7
08/12/2017,02:00:01,5.8,95.5
08/12/2017,03:00:01,5.6,95.8
08/12/2017,04:00:01,5,95.3
08/12/2017,05:00:01,4.7,92.5
08/12/2017,06:00:01,4.4,90.7
08/12/2017,07:00:01,4.2,88.1
08/12/2017,08:00:01,4.4,89.1
08/12/2017,09:00:01,3.9,89
08/12/2017,10:00:01,4,90.7
08/12/2017,11:00:01,4.6,82.1
08/12/2017,12:00:01,5.3,82.5
08/12/2017,13:00:01,4.9,82.2
08/12/2017,14:00:01,5,78.6
08/12/2017,15:00:01,4.1,86.1
08/12/2017,16:00:01,4.4,85
08/12/2017,17:00:01,2.6,92.5
08/12/2017,18:00:01,2.7,92.6
08/12/2017,19:00:01,2.5,91.6
08/12/2017,20:00:01,2,92
08/12/2017,21:00:01,1.4,95.3
08/12/2017,22:00:01,1.2,93.7
08/12/2017,23:00:01,1,93.7
09/12/2017,00:00:01,1,93.4
09/12/2017,01:00:01,0.7,94.1
09/12/2017,02:00:01,0.5,95.1
09/12/2017,03:00:01,0.5,95.9
09/12/2017,04:00:01,0.3,97.4
09/12/2017,05:00:01,0.4,97
09/12/2017,06:00:01,0.1,98.5
09/12/2017,07:00:01,-0.2,98.6
09/12/2017,08:00:01,-0.2,98.6
09/12/2017,09:00:01,-0.1,97.6
09/12/2017,10:00:01,0.7,93.6
09/12/2017,11:00:01,1.3,91
09/12/2017,12:00:01,2.2,86.9
09/12/2017,13:00:01,3.6,80.9
09/12/2017,14:00:01,4.6,74.5
09/12/2017,15:00:01,4.1,75.9
09/12/2017,16:00:01,3.4,79.6
09/12/2017,17:00:01,2.6,83
09/12/2017,18:00:01,2.1,86.7
09/12/2017,19:00:01,2,90.9
09/12/2017,20:00:01,1.8,91.4
09/12/2017,21:00:01,1.7,92.1
09/12/2017,22:00:01,1.9,92.9
09/12/2017,23:00:01,2,93
10/12/2017,00:00:01,2,94.1
10/12/2017,01:00:01,1.7,94.7
10/12/2017,02:00:01,2,94.1
10/12/2017,03:00:01,2,92.7
10/12/2017,04:00:01,1.6,95.7
10/12/2017,05:00:01,1.6,95.8
10/12/2017,06:00:01,1.3,95.5
10/12/2017,07:00:01,0.6,100
10/12/2017,08:00:01,0.5,101.8
10/12/2017,09:00:01,0.7,102.5
10/12/2017,10:00:01,1.7,100.3
10/12/2017,11:00:01,2.4,101.7
10/12/2017,12:00:01,6.3,98.5
10/12/2017,13:00:01,9.3,84.3
10/12/2017,14:00:01,10.2,67.9
10/12/2017,15:00:01,10.1,66.8
10/12/2017,16:00:01,9.3,69.8
10/12/2017,17:00:01,9.1,72.4
10/12/2017,18:00:01,9.3,73.5
10/12/2017,19:00:01,6.6,100
10/12/2017,20:00:01,7.1,95.7
10/12/2017,21:00:01,7.4,91.4
10/12/2017,22:00:01,7.5,91.4
10/12/2017,23:00:01,7.7,90.7
11/12/2017,00:00:01,7.9,92.6
11/12/2017,01:00:01,7.3,92.7
11/12/2017,02:00:01,7,95.5
11/12/2017,03:00:01,6.6,98.5
11/12/2017,04:00:01,6.5,100.6
11/12/2017,05:00:01,6.9,101.4
11/12/2017,06:00:01,6.8,101.7
11/12/2017,07:00:01,6.9,101.9
11/12/2017,08:00:01,8.1,102.5
11/12/2017,09:00:01,9.8,93.2
11/12/2017,10:00:01,10.2,84.1
11/12/2017,11:00:01,10.3,78.9
11/12/2017,12:00:01,10.5,70.6
11/12/2017,13:00:01,10.3,69.5
11/12/2017,14:00:01,10.1,67.8
11/12/2017,15:00:01,9.1,74
11/12/2017,16:00:01,7.2,88.5
11/12/2017,17:00:01,6.4,90.9
11/12/2017,18:00:01,6.4,88.1
11/12/2017,19:00:01,5.5,99.9
11/12/2017,20:00:01,2.5,98.1
11/12/2017,21:00:01,2,94
11/12/2017,22:00:01,2.2,92.4
11/12/2017,23:00:01,2.7,91.1
12/12/2017,00:00:01,3.1,89.7
12/12/2017,01:00:01,3.4,89.5
12/12/2017,02:00:01,3.4,92.6
12/12/2017,03:00:01,3.1,95.2
12/12/2017,04:00:01,3.1,94.8
12/12/2017,05:00:01,2.9,95.6
12/12/2017,06:00:01,2.8,91.1
12/12/2017,07:00:01,2.7,93.6
12/12/2017,08:00:01,2.4,93.6
12/12/2017,09:00:01,2.2,93.9
12/12/2017,10:00:01,2.7,91
12/12/2017,11:00:01,3.3,87.2
12/12/2017,12:00:01,4.4,84.3
12/12/2017,13:00:01,5.4,81
12/12/2017,14:00:01,5.6,76.3
12/12/2017,15:00:01,5.5,77.1
12/12/2017,16:00:01,5.3,78.9
12/12/2017,17:00:01,4.6,84.5
12/12/2017,18:00:01,3.4,88.3
12/12/2017,19:00:01,2.9,90.9
12/12/2017,20:00:01,2.9,92.2
12/12/2017,21:00:01,3.3,91.6
12/12/2017,22:00:01,2.6,92.6
12/12/2017,23:00:01,2.5,93.1
13/12/2017,00:00:01,3.1,92.4
13/12/2017,01:00:01,3.9,88.6
13/12/2017,02:00:01,3.9,88.5
13/12/2017,03:00:01,3.2,93
13/12/2017,04:00:01,2.9,93.6
13/12/2017,05:00:01,3.5,92.1
13/12/2017,06:00:01,3.7,89.9
13/12/2017,07:00:01,3.4,91.7
