Date,Heure,S2ETemp,S2EHR
05/12/2017,16:00:01,5.1,92.7
05/12/2017,17:00:01,5.3,93
05/12/2017,18:00:01,5.1,94.6
05/12/2017,19:00:01,5.2,94.4
05/12/2017,20:00:01,5,95.2
05/12/2017,21:00:01,5,95.7
05/12/2017,22:00:01,5.1,97.9
05/12/2017,23:00:01,5.2,97
06/12/2017,00:00:01,5.3,97
06/12/2017,01:00:01,5.4,96.7
06/12/2017,02:00:01,5.6,97.3
06/12/2017,03:00:01,5.4,97.8
06/12/2017,04:00:01,5.5,98.3
06/12/2017,05:00:01,5.6,98.1
06/12/2017,06:00:01,5.6,97.5
06/12/2017,07:00:01,5.4,98.5
06/12/2017,08:00:01,5.5,97.5
06/12/2017,09:00:01,5.5,96.8
06/12/2017,10:00:01,5.8,94.9
06/12/2017,11:00:01,6.5,93
06/12/2017,12:00:01,7.4,84
06/12/2017,13:00:01,7.7,83.6
06/12/2017,14:00:01,7.7,83.3
06/12/2017,15:00:01,7.4,84.8
06/12/2017,16:00:01,7,88
06/12/2017,17:00:01,6.5,89.4
06/12/2017,18:00:01,6.2,90.4
06/12/2017,19:00:01,5.7,93.4
06/12/2017,20:00:01,5.1,94.9
06/12/2017,21:00:01,4.7,94.9
06/12/2017,22:00:01,3.4,99.9
06/12/2017,23:00:01,4,95.4
07/12/2017,00:00:01,3.9,90.3
07/12/2017,01:00:01,3.2,92.1
07/12/2017,02:00:01,2.8,93.5
07/12/2017,03:00:01,2.5,94.1
07/12/2017,04:00:01,2.7,92.6
07/12/2017,05:00:01,2.8,89.8
07/12/2017,06:00:01,3,90.2
07/12/2017,07:00:01,3.2,89
07/12/2017,08:00:01,3.2,90.3
07/12/2017,09:00:01,3,90.8
07/12/2017,10:00:01,3.2,91.2
07/12/2017,11:00:01,4.2,89.3
07/12/2017,12:00:01,4.2,89.8
07/12/2017,13:00:01,4.8,90.4
07/12/2017,14:00:01,5.4,89
07/12/2017,15:00:01,6.4,88
07/12/2017,16:00:01,6.3,89
07/12/2017,17:00:01,6.3,95.9
07/12/2017,18:00:01,6.9,96.5
07/12/2017,19:00:01,7.5,99
07/12/2017,20:00:01,8.1,96.5
