Date,Heure,S2NTemp,S2NHR
05/12/2017,16:00:01,4.9,95.8
05/12/2017,17:00:01,4.9,95.9
05/12/2017,18:00:01,4.8,97
05/12/2017,19:00:01,4.8,96.9
05/12/2017,20:00:01,4.7,96.9
05/12/2017,21:00:01,4.8,98.1
05/12/2017,22:00:01,4.8,99.7
05/12/2017,23:00:01,4.8,99.7
06/12/2017,00:00:01,5.1,98.5
06/12/2017,01:00:01,5,99.3
06/12/2017,02:00:01,5.4,98.7
06/12/2017,03:00:01,5.1,100.2
06/12/2017,04:00:01,5.1,100.4
06/12/2017,05:00:01,5.3,99.8
06/12/2017,06:00:01,5.2,100
06/12/2017,07:00:01,5.1,100.4
06/12/2017,08:00:01,5.2,99.8
06/12/2017,09:00:01,5.4,98.5
06/12/2017,10:00:01,5.8,97.6
06/12/2017,11:00:01,6.6,96.1
06/12/2017,12:00:01,7.5,87.7
06/12/2017,13:00:01,7.8,86.7
06/12/2017,14:00:01,7.6,86.6
06/12/2017,15:00:01,7.3,88.1
06/12/2017,16:00:01,6.7,91.9
06/12/2017,17:00:01,6.2,91.4
06/12/2017,18:00:01,5.8,94.5
06/12/2017,19:00:01,5.3,95.4
06/12/2017,20:00:01,4.8,96.1
06/12/2017,21:00:01,4.2,96.9
06/12/2017,22:00:01,3.2,99.3
06/12/2017,23:00:01,3.7,96.1
07/12/2017,00:00:01,3.5,91.9
07/12/2017,01:00:01,2.7,92.8
07/12/2017,02:00:01,2.4,93
07/12/2017,03:00:01,2.2,94.5
07/12/2017,04:00:01,2.4,92.5
07/12/2017,05:00:01,2.6,91.9
07/12/2017,06:00:01,2.8,90.2
07/12/2017,07:00:01,2.9,90.3
07/12/2017,08:00:01,2.9,91.4
07/12/2017,09:00:01,2.7,92.9
07/12/2017,10:00:01,3.1,93
07/12/2017,11:00:01,4.3,89.6
07/12/2017,12:00:01,4,90.5
07/12/2017,13:00:01,4.8,90.5
07/12/2017,14:00:01,5.4,90.7
07/12/2017,15:00:01,6.1,89.8
07/12/2017,16:00:01,6.2,91
07/12/2017,17:00:01,6.2,99.8
07/12/2017,18:00:01,6.9,96.4
07/12/2017,19:00:01,7.2,99.7
07/12/2017,20:00:01,8,98
07/12/2017,21:00:01,8.4,99.1
07/12/2017,22:00:01,7.3,97.1
07/12/2017,23:00:01,6.4,95.5
08/12/2017,00:00:01,5.9,93.8
08/12/2017,01:00:01,5.5,94.9
08/12/2017,02:00:01,5.6,96.4
08/12/2017,03:00:01,5.4,96.1
08/12/2017,04:00:01,4.8,96.5
08/12/2017,05:00:01,4.3,93.9
08/12/2017,06:00:01,4.1,92.2
08/12/2017,07:00:01,3.9,90.3
08/12/2017,08:00:01,4.3,91.4
08/12/2017,09:00:01,3.7,89.8
08/12/2017,10:00:01,4.2,89.8
08/12/2017,11:00:01,4.5,84
08/12/2017,12:00:01,5.4,82.8
08/12/2017,13:00:01,4.8,82.4
08/12/2017,14:00:01,4.1,85.8
08/12/2017,15:00:01,3.8,87.3
08/12/2017,16:00:01,3.4,90.7
08/12/2017,17:00:01,2.6,92.1
08/12/2017,18:00:01,2.6,92.6
08/12/2017,19:00:01,2.4,92.2
08/12/2017,20:00:01,1.7,93
08/12/2017,21:00:01,1.2,95.3
08/12/2017,22:00:01,1,96.3
08/12/2017,23:00:01,0.7,94.9
09/12/2017,00:00:01,0.9,94.8
09/12/2017,01:00:01,0.4,95.4
09/12/2017,02:00:01,0.4,96
09/12/2017,03:00:01,0.3,96.6
09/12/2017,04:00:01,0,98.1
09/12/2017,05:00:01,0.2,98.4
09/12/2017,06:00:01,-0.2,100.3
09/12/2017,07:00:01,-0.5,100.6
09/12/2017,08:00:01,-0.5,100.3
09/12/2017,09:00:01,-0.1,98.5
09/12/2017,10:00:01,0.9,94
09/12/2017,11:00:01,1.4,90.8
09/12/2017,12:00:01,2.4,86.6
09/12/2017,13:00:01,3.3,82
09/12/2017,14:00:01,3.4,81
09/12/2017,15:00:01,3.6,78.5
09/12/2017,16:00:01,3.1,82
09/12/2017,17:00:01,2.2,85.2
09/12/2017,18:00:01,1.8,88.6
09/12/2017,19:00:01,1.8,92.5
09/12/2017,20:00:01,1.7,92.5
09/12/2017,21:00:01,1.6,93.1
09/12/2017,22:00:01,1.7,94
09/12/2017,23:00:01,1.8,94.1
10/12/2017,00:00:01,1.8,94.6
10/12/2017,01:00:01,1.6,95.9
10/12/2017,02:00:01,1.9,93.6
10/12/2017,03:00:01,1.9,94.1
10/12/2017,04:00:01,1.5,96.1
10/12/2017,05:00:01,1.6,96.3
10/12/2017,06:00:01,1.2,96.9
10/12/2017,07:00:01,0.4,102.8
10/12/2017,08:00:01,0.2,105.2
10/12/2017,09:00:01,0.6,105.2
10/12/2017,10:00:01,1.4,105.1
10/12/2017,11:00:01,2.4,104.7
10/12/2017,12:00:01,5.8,104.4
10/12/2017,13:00:01,8.7,91.1
10/12/2017,14:00:01,9.3,73.8
10/12/2017,15:00:01,9.3,72.1
10/12/2017,16:00:01,8.7,73.2
10/12/2017,17:00:01,8.6,75.3
10/12/2017,18:00:01,8.8,76.9
10/12/2017,19:00:01,6.4,100.9
10/12/2017,20:00:01,6.8,98.9
10/12/2017,21:00:01,6.9,95.3
10/12/2017,22:00:01,7,95.2
10/12/2017,23:00:01,7.2,94.3
11/12/2017,00:00:01,7.3,96.1
11/12/2017,01:00:01,6.8,96.4
11/12/2017,02:00:01,6.8,97.1
11/12/2017,03:00:01,6.5,100.8
11/12/2017,04:00:01,6.5,102.8
11/12/2017,05:00:01,6.9,102.4
11/12/2017,06:00:01,6.8,101.8
11/12/2017,07:00:01,6.9,103.4
11/12/2017,08:00:01,8.2,103.7
11/12/2017,09:00:01,9.1,97.1
11/12/2017,10:00:01,9.5,89
11/12/2017,11:00:01,9.8,83.8
11/12/2017,12:00:01,9.9,76.3
11/12/2017,13:00:01,9.9,72.1
11/12/2017,14:00:01,9.7,71.1
11/12/2017,15:00:01,9,75.9
11/12/2017,16:00:01,7.3,88.3
11/12/2017,17:00:01,6.4,91.7
11/12/2017,18:00:01,6.4,89.4
11/12/2017,19:00:01,5.9,95.7
11/12/2017,20:00:01,2.4,99.3
11/12/2017,21:00:01,2.1,93.6
11/12/2017,22:00:01,2.1,93.1
11/12/2017,23:00:01,1.9,96.6
12/12/2017,00:00:01,2.6,94.5
12/12/2017,01:00:01,3.2,91.9
12/12/2017,02:00:01,3.2,93.9
12/12/2017,03:00:01,2.9,96.8
12/12/2017,04:00:01,3,96
12/12/2017,05:00:01,2.7,96.5
12/12/2017,06:00:01,2.5,92.2
12/12/2017,07:00:01,2.6,95
12/12/2017,08:00:01,2.1,95.8
12/12/2017,09:00:01,2.2,94.5
12/12/2017,10:00:01,2.9,91.4
12/12/2017,11:00:01,3.6,86.3
12/12/2017,12:00:01,4.5,83.1
12/12/2017,13:00:01,5.1,82.2
12/12/2017,14:00:01,5.1,81.5
12/12/2017,15:00:01,5.1,81.8
12/12/2017,16:00:01,4.9,82.2
12/12/2017,17:00:01,4.1,86.7
12/12/2017,18:00:01,3.1,90.8
12/12/2017,19:00:01,2.6,93.6
12/12/2017,20:00:01,2.6,94.6
12/12/2017,21:00:01,2.9,94.5
12/12/2017,22:00:01,2.1,95.7
12/12/2017,23:00:01,2.1,95.5
13/12/2017,00:00:01,2.7,94.9
13/12/2017,01:00:01,3.4,92.2
13/12/2017,02:00:01,3.6,91.7
13/12/2017,03:00:01,3.1,94.3
13/12/2017,04:00:01,2.7,95.5
13/12/2017,05:00:01,3.2,93.6
13/12/2017,06:00:01,3.4,92.1
13/12/2017,07:00:01,3.2,93.3
13/12/2017,08:00:01,3.6,92.5
13/12/2017,09:00:01,3.7,94.5
