Date,Heure,S2OTemp,S2OHR
05/12/2017,16:00:01,5,96
05/12/2017,17:00:01,5,95.6
05/12/2017,18:00:01,4.9,96.9
05/12/2017,19:00:01,4.9,97
05/12/2017,20:00:01,4.8,97.4
05/12/2017,21:00:01,4.8,98.7
05/12/2017,22:00:01,4.9,99.3
05/12/2017,23:00:01,5,98.3
06/12/2017,00:00:01,5.1,98.7
06/12/2017,01:00:01,5.1,98.8
06/12/2017,02:00:01,5.3,99
06/12/2017,03:00:01,5.1,100.1
06/12/2017,04:00:01,5.3,100.6
06/12/2017,05:00:01,5.4,99.6
06/12/2017,06:00:01,5.3,100.2
06/12/2017,07:00:01,5.2,100.7
06/12/2017,08:00:01,5.3,100
06/12/2017,09:00:01,5.5,98.7
06/12/2017,10:00:01,5.8,98.1
06/12/2017,11:00:01,6.7,94.8
06/12/2017,12:00:01,7.7,87.1
06/12/2017,13:00:01,7.8,86.9
06/12/2017,14:00:01,7.6,86.5
06/12/2017,15:00:01,7.3,87.7
06/12/2017,16:00:01,6.7,91.6
06/12/2017,17:00:01,6.3,91.5
06/12/2017,18:00:01,5.8,93.3
06/12/2017,19:00:01,5.3,95.5
06/12/2017,20:00:01,4.8,96.6
06/12/2017,21:00:01,4.2,97.2
06/12/2017,22:00:01,3.3,99.6
06/12/2017,23:00:01,3.7,96.6
07/12/2017,00:00:01,3.5,92.9
07/12/2017,01:00:01,2.6,93.8
07/12/2017,02:00:01,2.5,95.2
07/12/2017,03:00:01,2.2,96.1
07/12/2017,04:00:01,2.5,92.7
07/12/2017,05:00:01,2.5,91.9
07/12/2017,06:00:01,2.8,92.4
07/12/2017,07:00:01,2.9,91
07/12/2017,08:00:01,2.9,92.2
07/12/2017,09:00:01,2.7,93.2
07/12/2017,10:00:01,3,93.3
07/12/2017,11:00:01,4.3,89.7
07/12/2017,12:00:01,4,91.1
07/12/2017,13:00:01,4.7,91.4
07/12/2017,14:00:01,5.3,89.6
07/12/2017,15:00:01,6.1,90.6
07/12/2017,16:00:01,6.2,92
07/12/2017,17:00:01,5.8,103.2
07/12/2017,18:00:01,6.5,102.5
07/12/2017,19:00:01,6.9,103.7
07/12/2017,20:00:01,7.5,104
07/12/2017,21:00:01,8,104.2
07/12/2017,22:00:01,6.9,104.3
07/12/2017,23:00:01,5.9,104.6
08/12/2017,00:00:01,5.3,104.4
08/12/2017,01:00:01,5,104.4
08/12/2017,02:00:01,5.3,100.6
08/12/2017,03:00:01,5.2,99.1
08/12/2017,04:00:01,4.6,99.2
08/12/2017,05:00:01,4.2,96.1
08/12/2017,06:00:01,4,94.5
08/12/2017,07:00:01,3.8,92.3
08/12/2017,08:00:01,4,94.3
08/12/2017,09:00:01,3.5,94.1
08/12/2017,10:00:01,3.9,94.1
08/12/2017,11:00:01,4.6,86.7
08/12/2017,12:00:01,7,78.6
08/12/2017,13:00:01,4.8,84.3
08/12/2017,14:00:01,4.5,85.1
08/12/2017,15:00:01,4,89.3
08/12/2017,16:00:01,4.5,86
08/12/2017,17:00:01,2.6,93.8
08/12/2017,18:00:01,2.6,94.8
08/12/2017,19:00:01,2.4,94.2
08/12/2017,20:00:01,1.7,94.7
08/12/2017,21:00:01,1.2,97.6
08/12/2017,22:00:01,0.9,96.5
08/12/2017,23:00:01,0.6,97
09/12/2017,00:00:01,0.8,96.9
09/12/2017,01:00:01,0.4,97.6
09/12/2017,02:00:01,0.4,97.5
09/12/2017,03:00:01,0.3,98.5
09/12/2017,04:00:01,-0.1,100.3
09/12/2017,05:00:01,0.2,99.3
09/12/2017,06:00:01,-0.2,101.5
09/12/2017,07:00:01,-0.4,101.5
09/12/2017,08:00:01,-0.4,101.9
09/12/2017,09:00:01,-0.1,99.6
09/12/2017,10:00:01,0.8,95.5
09/12/2017,11:00:01,1.6,91.8
09/12/2017,12:00:01,5,78.3
09/12/2017,13:00:01,6.7,69.7
09/12/2017,14:00:01,5.7,71.7
09/12/2017,15:00:01,4.5,74.8
09/12/2017,16:00:01,3.5,80.1
09/12/2017,17:00:01,2.5,84.7
09/12/2017,18:00:01,2.1,88.3
09/12/2017,19:00:01,1.9,91.9
09/12/2017,20:00:01,1.8,92.7
09/12/2017,21:00:01,1.7,93.1
09/12/2017,22:00:01,1.8,94.2
09/12/2017,23:00:01,1.8,95.2
10/12/2017,00:00:01,1.8,95.2
10/12/2017,01:00:01,1.7,96.3
10/12/2017,02:00:01,1.9,95.2
10/12/2017,03:00:01,1.9,95.3
10/12/2017,04:00:01,1.5,97.4
10/12/2017,05:00:01,1.5,97.4
10/12/2017,06:00:01,1.2,97.6
10/12/2017,07:00:01,0.4,102.9
10/12/2017,08:00:01,0.3,104.8
10/12/2017,09:00:01,0.6,105.4
10/12/2017,10:00:01,1.3,105.4
10/12/2017,11:00:01,2.6,105.8
10/12/2017,12:00:01,6,105.3
10/12/2017,13:00:01,9.4,91.4
10/12/2017,14:00:01,9.9,72.3
10/12/2017,15:00:01,10.2,68.7
10/12/2017,16:00:01,8.9,72.8
10/12/2017,17:00:01,8.7,75.5
10/12/2017,18:00:01,8.8,77.5
10/12/2017,19:00:01,6.3,103.8
10/12/2017,20:00:01,6.8,103.8
10/12/2017,21:00:01,6.7,104.4
10/12/2017,22:00:01,6.7,105.2
10/12/2017,23:00:01,7.1,103.8
11/12/2017,00:00:01,7.2,101.2
11/12/2017,01:00:01,7,97.7
11/12/2017,02:00:01,6.8,98.6
11/12/2017,03:00:01,6.5,101.9
11/12/2017,04:00:01,6.5,104.2
11/12/2017,05:00:01,6.9,104
11/12/2017,06:00:01,6.7,104
11/12/2017,07:00:01,7,104.6
11/12/2017,08:00:01,8.2,104.1
11/12/2017,09:00:01,8.9,98.8
11/12/2017,10:00:01,9.3,91.2
11/12/2017,11:00:01,9.7,84.9
11/12/2017,12:00:01,9.7,78.1
11/12/2017,13:00:01,9.7,92.9
11/12/2017,14:00:01,9.7,72.8
11/12/2017,15:00:01,7.2,95.5
11/12/2017,16:00:01,6.4,104
11/12/2017,17:00:01,5.9,104
11/12/2017,18:00:01,6,99.8
11/12/2017,19:00:01,5.3,104.6
11/12/2017,20:00:01,2.3,105.9
11/12/2017,21:00:01,1.5,105.6
11/12/2017,22:00:01,1.7,106.1
11/12/2017,23:00:01,1.6,104.3
12/12/2017,00:00:01,2.5,100.8
12/12/2017,01:00:01,3,96.6
12/12/2017,02:00:01,3,98.3
12/12/2017,03:00:01,2.7,102.5
12/12/2017,04:00:01,2.8,99.2
12/12/2017,05:00:01,2.5,99.7
12/12/2017,06:00:01,2.3,96.1
12/12/2017,07:00:01,2.5,97.5
12/12/2017,08:00:01,1.9,98.6
12/12/2017,09:00:01,1.9,97.4
12/12/2017,10:00:01,2.6,94.3
12/12/2017,11:00:01,3.5,90.2
12/12/2017,12:00:01,6.5,76.3
12/12/2017,13:00:01,8.2,71.3
12/12/2017,14:00:01,6.7,79
12/12/2017,15:00:01,5.8,77.9
12/12/2017,16:00:01,5.8,79.2
12/12/2017,17:00:01,4.5,85.3
12/12/2017,18:00:01,3.3,90.5
