Date,Heure,S2STemp,S2SHR
05/12/2017,16:00:01,5.1,93.2
05/12/2017,17:00:01,5.1,93.7
05/12/2017,18:00:01,5,95.1
05/12/2017,19:00:01,5.1,94.6
05/12/2017,20:00:01,4.9,95.5
05/12/2017,21:00:01,5,96.9
05/12/2017,22:00:01,5,98.4
05/12/2017,23:00:01,5.1,97.7
06/12/2017,00:00:01,5.3,97.2
06/12/2017,01:00:01,5.3,97.6
06/12/2017,02:00:01,5.3,98.1
06/12/2017,03:00:01,5.2,99
06/12/2017,04:00:01,5.4,98.8
06/12/2017,05:00:01,5.4,98.5
06/12/2017,06:00:01,5.5,99.1
06/12/2017,07:00:01,5.3,99.7
06/12/2017,08:00:01,5.3,98.8
06/12/2017,09:00:01,5.5,96.9
06/12/2017,10:00:01,5.9,95.5
06/12/2017,11:00:01,6.9,92.6
06/12/2017,12:00:01,8.2,83.7
06/12/2017,13:00:01,8.1,82.9
06/12/2017,14:00:01,8,83.4
06/12/2017,15:00:01,7.5,84.9
06/12/2017,16:00:01,6.8,89.9
06/12/2017,17:00:01,6.4,89.6
06/12/2017,18:00:01,5.9,91.2
06/12/2017,19:00:01,5.3,93.6
06/12/2017,20:00:01,4.8,95.1
06/12/2017,21:00:01,4.3,96
06/12/2017,22:00:01,3.1,99.3
06/12/2017,23:00:01,3.7,95.5
07/12/2017,00:00:01,3.5,91.3
07/12/2017,01:00:01,2.7,92.7
07/12/2017,02:00:01,2.4,94
07/12/2017,03:00:01,2.1,94.6
07/12/2017,04:00:01,2.4,92.2
07/12/2017,05:00:01,2.5,90.1
07/12/2017,06:00:01,2.8,90.8
07/12/2017,07:00:01,2.9,89.5
07/12/2017,08:00:01,3,90.3
07/12/2017,09:00:01,2.8,91.4
07/12/2017,10:00:01,3,92.2
07/12/2017,11:00:01,5.8,83.3
07/12/2017,12:00:01,4.1,89.2
07/12/2017,13:00:01,4.8,88.2
07/12/2017,14:00:01,5.5,88.6
07/12/2017,15:00:01,6.3,87.8
07/12/2017,16:00:01,6.3,90
07/12/2017,17:00:01,5.8,101.5
07/12/2017,18:00:01,6.5,103.2
07/12/2017,19:00:01,7,101.3
07/12/2017,20:00:01,7.6,101.9
07/12/2017,21:00:01,8,102.6
07/12/2017,22:00:01,7.2,100.4
07/12/2017,23:00:01,5.9,98.1
08/12/2017,00:00:01,5.3,98.2
08/12/2017,01:00:01,5.1,97.6
08/12/2017,02:00:01,5.1,99.1
08/12/2017,03:00:01,5,99.1
08/12/2017,04:00:01,4.5,100.3
08/12/2017,05:00:01,4.1,96.2
08/12/2017,06:00:01,4,94.1
08/12/2017,07:00:01,3.8,91.7
08/12/2017,08:00:01,4.1,93.2
08/12/2017,09:00:01,3.6,91.7
08/12/2017,10:00:01,9.4,75.3
08/12/2017,11:00:01,11.6,56.7
08/12/2017,12:00:01,8,69.6
08/12/2017,13:00:01,6,75.4
08/12/2017,14:00:01,7.2,69.6
08/12/2017,15:00:01,5,81.7
08/12/2017,16:00:01,5,81.8
08/12/2017,17:00:01,2.9,91.2
08/12/2017,18:00:01,2.8,91.7
08/12/2017,19:00:01,2.5,91.7
08/12/2017,20:00:01,1.9,94.1
08/12/2017,21:00:01,1.3,95.9
08/12/2017,22:00:01,1,95
08/12/2017,23:00:01,0.7,95.4
09/12/2017,00:00:01,0.8,94.6
09/12/2017,01:00:01,0.4,95.2
09/12/2017,02:00:01,0.4,96.1
09/12/2017,03:00:01,0.3,97.2
09/12/2017,04:00:01,-0.2,99.6
09/12/2017,05:00:01,0.2,98.6
09/12/2017,06:00:01,-0.3,100.4
09/12/2017,07:00:01,-0.5,100.3
09/12/2017,08:00:01,-0.6,101.2
09/12/2017,09:00:01,0.4,97.6
09/12/2017,10:00:01,7.7,67.5
09/12/2017,11:00:01,10.2,56
09/12/2017,12:00:01,13.5,45.4
09/12/2017,13:00:01,12.1,44.9
09/12/2017,14:00:01,7.7,57.5
09/12/2017,15:00:01,6,65.3
09/12/2017,16:00:01,4.2,73.6
09/12/2017,17:00:01,3.1,78.2
09/12/2017,18:00:01,2.5,82.9
